sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_series,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
TGT_w08_s0020,TGT,consumer,linear_trend,8,1.0,40,46.196853692431986,5.399885585988072,-40.79696810644391,-88.31113992753863,True
TGT_w08_s0020,TGT,consumer,linear_trend,8,2.0,80,46.196853692431986,6.3820236301304485,-39.81483006230154,-86.18515522156446,True
TGT_w08_s0020,TGT,consumer,linear_trend,8,0.5,20,46.196853692431986,6.995739335915147,-39.20111435651684,-84.85667577603625,True
CVX_w08_s0001,CVX,energy,linear_trend,8,0.5,20,48.670051098577645,12.561347735726429,-36.108703362851216,-74.19080635382048,True
BAC_w08_s0001,BAC,finance,linear_trend,8,1.0,40,49.25754804924062,13.233229568501562,-36.024318480739055,-73.13461572372039,True
XOM_w08_s0001,XOM,energy,linear_trend,8,2.0,80,49.57502176881217,13.900616607803332,-35.674405161008835,-71.9604427555728,True
CVX_w08_s0001,CVX,energy,linear_trend,8,2.0,80,48.670051098577645,13.370804792324485,-35.29924630625316,-72.5276540901038,True
BAC_w08_s0001,BAC,finance,linear_trend,8,2.0,80,49.25754804924062,14.973877114741082,-34.28367093449954,-69.60084757005698,True
CVX_w08_s0001,CVX,energy,linear_trend,8,1.0,40,48.670051098577645,15.180278818261932,-33.48977228031571,-68.8098153266464,True
XOM_w08_s0001,XOM,energy,linear_trend,8,1.0,40,49.57502176881217,17.065575073661083,-32.509446695151084,-65.57626307610195,True
GS_w08_s0001,GS,finance,linear_trend,8,2.0,80,45.53696417934761,13.055718026288018,-32.481246153059594,-71.32940620532368,True
NVDA_w12_s0022,NVDA,technology,linear_trend,12,2.0,120,36.16188295373616,4.906430124142931,-31.25545282959323,-86.43203914348157,True
GS_w08_s0001,GS,finance,linear_trend,8,1.0,40,45.53696417934761,14.764399198160424,-30.772564981187188,-67.5771113330903,True
GS_w08_s0001,GS,finance,linear_trend,8,0.5,20,45.53696417934761,15.113192800775607,-30.42377137857201,-66.81115424987006,True
NVDA_w12_s0022,NVDA,technology,linear_trend,12,1.0,60,36.16188295373616,6.237216769748132,-29.92466618398803,-82.75195797263174,True
BAC_w08_s0001,BAC,finance,linear_trend,8,0.5,20,49.25754804924062,19.57797915023761,-29.67956889900301,-60.253849560951835,True
XOM_w08_s0001,XOM,energy,linear_trend,8,0.5,20,49.57502176881217,20.28680872933316,-29.28821303947901,-59.07856818714365,True
TGT_w08_s0020,TGT,consumer,moving_average,8,0.5,20,36.03233129316427,7.23156423645317,-28.8007670567111,-79.9303459506516,True
JPM_w08_s0001,JPM,finance,linear_trend,8,0.5,20,41.72313525558739,13.225828986921414,-28.497306268665973,-68.30097041868332,True
JPM_w08_s0001,JPM,finance,linear_trend,8,1.0,40,41.72313525558739,14.583990650444214,-27.139144605143173,-65.04579399149735,True
TGT_w08_s0020,TGT,consumer,moving_average,8,2.0,80,36.03233129316427,9.287400218433898,-26.74493107473037,-74.22481453428516,True
TGT_w08_s0020,TGT,consumer,moving_average,8,1.0,40,36.03233129316427,9.433910307460502,-26.59842098570377,-73.81820723531641,True
NVDA_w12_s0022,NVDA,technology,linear_trend,12,0.5,30,36.16188295373616,10.335633744433231,-25.82624920930293,-71.41843040182349,True
BAC_w08_s0000,BAC,finance,linear_trend,8,0.5,20,39.845340133122654,14.033086654415024,-25.812253478707632,-64.78110964160251,True
JPM_w08_s0001,JPM,finance,linear_trend,8,2.0,80,41.72313525558739,16.805519469633182,-24.917615785954204,-59.721340770088325,True
TGT_w04_s0021,TGT,consumer,linear_trend,4,1.0,20,51.26851797208138,27.527026387855287,-23.741491584226097,-46.30812928346141,True
BAC_w08_s0000,BAC,finance,linear_trend,8,1.0,40,39.845340133122654,16.350819166366158,-23.494520966756497,-58.96428763880963,True
BAC_w08_s0000,BAC,finance,linear_trend,8,2.0,80,39.845340133122654,16.854766471255907,-22.990573661866748,-57.69952919226088,True
TGT_w04_s0021,TGT,consumer,linear_trend,4,0.5,10,51.26851797208138,29.557960973186535,-21.710556998894848,-42.346761438896046,True
JPM_w08_s0000,JPM,finance,linear_trend,8,2.0,80,35.62615090017549,13.921784260951512,-21.704366639223977,-60.92256977196227,True
TGT_w04_s0021,TGT,consumer,linear_trend,4,2.0,40,51.26851797208138,29.967011938442887,-21.301506033638496,-41.54890150177224,True
