model,cold_start_weeks,augmentation_ratio,number_of_comparisons,improvement_rate,mean_MAPE_difference,mean_percent_change_MAPE
linear_trend,4,0.5,484,0.5702479338842975,-0.7729938115090916,1.580831328411121
linear_trend,4,1.0,484,0.5681818181818182,-0.8326332030960094,1.5155265161460094
linear_trend,4,2.0,484,0.5640495867768595,-0.759145563799688,2.6936017156405936
linear_trend,8,0.5,473,0.6448202959830867,-2.1931317837440534,-8.356769182794656
linear_trend,8,1.0,473,0.6553911205073996,-2.2248864811759193,-8.041167079059132
linear_trend,8,2.0,473,0.642706131078224,-2.238423525371824,-8.170191507618988
linear_trend,12,0.5,462,0.6471861471861472,-1.6289543089673124,-4.92208374392795
linear_trend,12,1.0,462,0.6255411255411255,-1.673033556843457,-5.615379789109693
linear_trend,12,2.0,462,0.6341991341991342,-1.6939327481601214,-5.535648807181809
moving_average,4,0.5,484,0.518595041322314,-0.11186598119840445,0.34615665746526697
moving_average,4,1.0,484,0.518595041322314,-0.09252631150135275,0.8112450024755402
moving_average,4,2.0,484,0.5103305785123967,-0.09169656576764368,1.0889064040256982
moving_average,8,0.5,473,0.5856236786469344,-0.40140221884757604,-1.458491338265299
moving_average,8,1.0,473,0.5687103594080338,-0.3951397130203088,-1.4446395981433555
moving_average,8,2.0,473,0.5898520084566596,-0.4195113914239233,-2.1012130012188335
moving_average,12,0.5,462,0.5800865800865801,-0.4168232327135663,-2.851012182523975
moving_average,12,1.0,462,0.6038961038961039,-0.40819203257100417,-3.2892123134220186
moving_average,12,2.0,462,0.5995670995670995,-0.45027460461266217,-3.7925636136087593
naive,4,0.5,484,0.0,0.0,0.0
naive,4,1.0,484,0.028925619834710745,5.82637703005764e-17,1.588761010986681e-16
naive,4,2.0,484,0.026859504132231406,6.101638936989496e-17,2.390089012189e-16
naive,8,0.5,473,0.03382663847780127,5.5393791503496175e-17,4.62848691146542e-16
naive,8,1.0,473,0.03171247357293869,6.102705843605512e-17,6.483369193588193e-16
naive,8,2.0,473,0.03171247357293869,6.102705843605512e-17,6.483369193588193e-16
naive,12,0.5,462,0.0,0.0,0.0
naive,12,1.0,462,0.0,0.0,0.0
naive,12,2.0,462,0.0,0.0,0.0
