sector,model,augmentation_ratio,number_of_comparisons,mean_baseline_MAPE,mean_augmented_MAPE,mean_MAPE_difference,improvement_rate
consumer,linear_trend,0.5,387,7.404705507979569,10.790731483777083,3.3860259757975144,0.2144702842377261
consumer,linear_trend,1.0,387,7.404705507979569,14.864937888615874,7.460232380636303,0.16279069767441862
consumer,linear_trend,2.0,387,7.404705507979569,23.358374321985995,15.953668814006424,0.10335917312661498
consumer,moving_average,0.5,387,4.872634326225188,7.586708733976394,2.7140744077512067,0.3359173126614987
consumer,moving_average,1.0,387,4.872634326225188,11.165481294846225,6.2928469686210375,0.23772609819121446
consumer,moving_average,2.0,387,4.872634326225188,19.285331862987928,14.41269753676274,0.1343669250645995
consumer,naive,0.5,387,4.5474932306185325,8.19557872465913,3.648085494040599,0.27906976744186046
consumer,naive,1.0,387,4.5474932306185325,11.552184844375521,7.004691613756989,0.20930232558139536
consumer,naive,2.0,387,4.5474932306185325,19.845575137451664,15.298081906833133,0.12661498708010335
energy,linear_trend,0.5,258,8.365667497322082,11.922844587790626,3.5571770904685436,0.21705426356589147
energy,linear_trend,1.0,258,8.365667497322082,16.502516903731177,8.136849406409096,0.1744186046511628
energy,linear_trend,2.0,258,8.365667497322082,26.56426698694194,18.19859948961986,0.09302325581395349
energy,moving_average,0.5,258,5.589578781751568,8.532393540839303,2.942814759087736,0.32945736434108525
energy,moving_average,1.0,258,5.589578781751568,12.350318467847162,6.760739686095594,0.23255813953488372
energy,moving_average,2.0,258,5.589578781751568,21.920271448485114,16.330692666733544,0.13565891472868216
energy,naive,0.5,258,5.226897792284819,9.13200811756972,3.9051103252849004,0.25193798449612403
energy,naive,1.0,258,5.226897792284819,12.759205074014119,7.532307281729299,0.2054263565891473
energy,naive,2.0,258,5.226897792284819,22.65406513195972,17.427167339674902,0.12403100775193798
finance,linear_trend,0.5,387,8.001740959153256,11.900023379495565,3.8982824203423085,0.2248062015503876
finance,linear_trend,1.0,387,8.001740959153256,16.46443743033838,8.462696471185122,0.1731266149870801
finance,linear_trend,2.0,387,8.001740959153256,26.28341599468689,18.281675035533635,0.1343669250645995
finance,moving_average,0.5,387,5.541929832892377,8.251887841468053,2.7099580085756756,0.3385012919896641
finance,moving_average,1.0,387,5.541929832892377,12.289730646989875,6.7478008140974985,0.25064599483204136
finance,moving_average,2.0,387,5.541929832892377,21.646642808959495,16.10471297606712,0.165374677002584
finance,naive,0.5,387,5.07229088442927,8.767162411535091,3.6948715271058212,0.2971576227390181
finance,naive,1.0,387,5.07229088442927,12.85665056412779,7.784359679698519,0.22739018087855298
finance,naive,2.0,387,5.07229088442927,22.38054190813748,17.308251023708205,0.12919896640826872
technology,linear_trend,0.5,387,9.41749686218081,13.948970477577646,4.531473615396836,0.24031007751937986
technology,linear_trend,1.0,387,9.41749686218081,19.436944414468304,10.019447552287494,0.16020671834625322
technology,linear_trend,2.0,387,9.41749686218081,31.198627627484996,21.781130765304187,0.11886304909560723
technology,moving_average,0.5,387,6.758982865741007,9.71825870565017,2.959275839909162,0.3772609819121447
technology,moving_average,1.0,387,6.758982865741007,14.390253273997693,7.631270408256685,0.24031007751937986
technology,moving_average,2.0,387,6.758982865741007,25.878677734796906,19.119694869055902,0.14470284237726097
technology,naive,0.5,387,6.385318426069375,10.572950041501139,4.187631615431764,0.330749354005168
technology,naive,1.0,387,6.385318426069375,15.079763466028817,8.69444503995944,0.2144702842377261
technology,naive,2.0,387,6.385318426069375,26.659736521836848,20.274418095767473,0.1524547803617571
