ticker,number_of_comparisons,mean_baseline_MAPE,mean_augmented_MAPE,mean_MAPE_difference,improvement_rate
AAPL,1161,6.269323964412549,5.5896620945518585,-0.6796618698606905,0.429801894918174
BAC,1161,6.872940098882478,6.136265906739254,-0.7366741921432247,0.40482342807924204
COST,1161,5.086296136554973,4.555633200950959,-0.5306629356040131,0.40310077519379844
CVX,1161,6.263952674560105,5.6203307388993355,-0.6436219356607691,0.40310077519379844
GS,1161,6.245076681664317,5.722574411573417,-0.5225022700908994,0.39018087855297157
JPM,1161,5.497944895928109,5.041953813158311,-0.45599108276979783,0.37381567614125755
MSFT,1161,5.229791571850272,4.764834664797566,-0.4649569070527064,0.409130060292851
NVDA,1161,11.062682617728374,10.212061283436507,-0.8506213342918677,0.39104220499569337
TGT,1161,7.35969172884131,6.4915525470500945,-0.8681391817912149,0.39018087855297157
WMT,1161,4.378845199427008,3.9766572000055693,-0.4021879994214397,0.38242894056847543
XOM,1161,6.524143373012209,5.867064573758904,-0.6570787992533058,0.4108527131782946
