sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_series,MAE,RMSE,MAPE
AAPL_w04_s0000,AAPL,technology,4,naive,statistical,0.5,10,4.710443769182477,6.371919700829956,6.805185576991176
AAPL_w04_s0000,AAPL,technology,4,moving_average,statistical,0.5,10,4.27603106629713,5.866197141849048,6.183886368738513
AAPL_w04_s0000,AAPL,technology,4,linear_trend,statistical,0.5,10,8.496706964996266,10.64167888005892,12.14717229939562
AAPL_w04_s0000,AAPL,technology,4,naive,statistical,1.0,20,4.710443769182477,6.371919700829956,6.805185576991176
AAPL_w04_s0000,AAPL,technology,4,moving_average,statistical,1.0,20,4.338297799602629,5.953807336045253,6.2751837760071565
AAPL_w04_s0000,AAPL,technology,4,linear_trend,statistical,1.0,20,8.704840386324259,10.833284803424277,12.434682973901692
AAPL_w04_s0000,AAPL,technology,4,naive,statistical,2.0,40,4.710443769182477,6.371919700829956,6.805185576991176
AAPL_w04_s0000,AAPL,technology,4,moving_average,statistical,2.0,40,4.44634136305027,6.082615653027823,6.430367774139769
AAPL_w04_s0000,AAPL,technology,4,linear_trend,statistical,2.0,40,9.258728109344421,11.366245853423605,13.202256525723616
AAPL_w04_s0001,AAPL,technology,4,naive,statistical,0.5,10,5.016713687351772,5.913827081952492,8.410435696361338
AAPL_w04_s0001,AAPL,technology,4,moving_average,statistical,0.5,10,6.370271770214839,7.464444537734354,10.692942094500477
AAPL_w04_s0001,AAPL,technology,4,linear_trend,statistical,0.5,10,6.7977510546896,8.594412028534073,10.627068478091637
AAPL_w04_s0001,AAPL,technology,4,naive,statistical,1.0,20,5.016713687351772,5.913827081952492,8.410435696361338
AAPL_w04_s0001,AAPL,technology,4,moving_average,statistical,1.0,20,5.470632488785989,6.463047341790193,9.18551232677113
AAPL_w04_s0001,AAPL,technology,4,linear_trend,statistical,1.0,20,8.365814187712877,10.720756945468274,12.958570660898431
AAPL_w04_s0001,AAPL,technology,4,naive,statistical,2.0,40,5.016713687351772,5.913827081952492,8.410435696361338
AAPL_w04_s0001,AAPL,technology,4,moving_average,statistical,2.0,40,6.182916090666088,7.262498682056449,10.381358640505937
AAPL_w04_s0001,AAPL,technology,4,linear_trend,statistical,2.0,40,7.591832021831245,9.647330311931857,11.81813372177592
AAPL_w04_s0002,AAPL,technology,4,naive,statistical,0.5,10,8.606174741472516,9.346053961415205,11.501305323606799
AAPL_w04_s0002,AAPL,technology,4,moving_average,statistical,0.5,10,9.342570462032514,10.02826524414705,12.507241819243264
AAPL_w04_s0002,AAPL,technology,4,linear_trend,statistical,0.5,10,5.57996311501805,5.912986092454765,7.491667611580628
AAPL_w04_s0002,AAPL,technology,4,naive,statistical,1.0,20,8.606174741472516,9.346053961415205,11.501305323606799
AAPL_w04_s0002,AAPL,technology,4,moving_average,statistical,1.0,20,9.485998372073222,10.16201978367987,12.703168228339031
AAPL_w04_s0002,AAPL,technology,4,linear_trend,statistical,1.0,20,4.857645638293732,5.131014668838847,6.531656520955139
AAPL_w04_s0002,AAPL,technology,4,naive,statistical,2.0,40,8.606174741472516,9.346053961415205,11.501305323606799
AAPL_w04_s0002,AAPL,technology,4,moving_average,statistical,2.0,40,9.436988398029579,10.11628543455898,12.636219276621599
AAPL_w04_s0002,AAPL,technology,4,linear_trend,statistical,2.0,40,5.518155876531144,5.8297133925512306,7.41361041687149
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,0.5,10,7.75367682320731,8.820696315410123,8.829801671574518
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,0.5,10,8.365510477098365,9.36306278695118,9.545805042276227
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,0.5,10,1.9355688475182329,2.3592320721609865,2.2107721443193284
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,1.0,20,7.75367682320731,8.820696315410123,8.829801671574518
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,1.0,20,8.331835032631698,9.332987422092476,9.506396076138666
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,1.0,20,2.198148183436399,2.6254516559682863,2.509180847716867
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,2.0,40,7.75367682320731,8.820696315410123,8.829801671574518
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,2.0,40,8.420369547100801,9.412109355489346,9.610004320602128
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,2.0,40,2.1182958602460027,2.5437156604435316,2.418684044868463
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,0.5,10,8.658131190708707,11.479499751205239,8.049436894113732
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,0.5,10,9.340515474855039,12.246569578177397,8.690764745160358
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,0.5,10,3.9569774751992255,4.8233180364425605,4.030384344095745
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,1.0,20,8.658131190708707,11.479499751205239,8.049436894113732
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,1.0,20,9.102517091784014,11.997751976170878,8.4639989839943
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,1.0,20,3.9930918802386524,4.879835387180173,4.082218050864001
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,2.0,40,8.658131190708707,11.479499751205239,8.049436894113732
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,2.0,40,9.351162252656547,12.256472407506191,8.701080856893991
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,2.0,40,4.020590841951584,4.8288299322381825,4.0711117271714965
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,0.5,10,6.1587257385253915,7.591817985288641,5.253620708067618
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,0.5,10,6.443444104520595,8.486012508431251,5.404674852021924
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,0.5,10,18.108737218524087,22.440077037857776,16.548530573074533
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,1.0,20,6.158725738525392,7.591817985288637,5.2536207080676185
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,1.0,20,6.50416596418047,8.596546007556785,5.449434146906574
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,1.0,20,18.014078727852205,22.119369701341505,16.441599144530606
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,2.0,40,6.158725738525392,7.591817985288637,5.2536207080676185
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,2.0,40,6.715643973616595,8.96517162839216,5.609201115717954
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,2.0,40,17.54625395822413,21.27356851512763,15.986221375468299
AAPL_w04_s0006,AAPL,technology,4,naive,statistical,0.5,10,3.209398542131698,3.944484793204247,2.823383958508737
AAPL_w04_s0006,AAPL,technology,4,moving_average,statistical,0.5,10,2.8002446846179767,3.6564611331310926,2.4719264948512434
AAPL_w04_s0006,AAPL,technology,4,linear_trend,statistical,0.5,10,18.492151846420235,20.17581316765988,16.41058598204821
AAPL_w04_s0006,AAPL,technology,4,naive,statistical,1.0,20,3.209398542131698,3.944484793204247,2.823383958508737
AAPL_w04_s0006,AAPL,technology,4,moving_average,statistical,1.0,20,2.6253621568379906,3.523578657359099,2.326384548770133
AAPL_w04_s0006,AAPL,technology,4,linear_trend,statistical,1.0,20,17.52745033646914,19.281513762933418,15.552378748229264
