sector,model,augmentation_ratio,number_of_comparisons,mean_baseline_MAPE,mean_augmented_MAPE,mean_MAPE_difference,mean_percent_change_MAPE,improvement_rate
consumer,linear_trend,0.5,387,7.404705507979569,5.939523261734434,-1.4651822462451367,-6.387143393985752,0.6511627906976745
consumer,linear_trend,1.0,387,7.404705507979569,5.859416309928781,-1.5452891980507892,-6.018052753035631,0.6382428940568475
consumer,linear_trend,2.0,387,7.404705507979569,5.880254371093534,-1.5244511368860358,-6.238056021680509,0.6563307493540051
consumer,moving_average,0.5,387,4.872634326225188,4.591093398240894,-0.2815409279842934,-0.7559038481421577,0.5116279069767442
consumer,moving_average,1.0,387,4.872634326225188,4.586211160489319,-0.28642316573586823,-0.942852965928479,0.524547803617571
consumer,moving_average,2.0,387,4.872634326225188,4.572550650677308,-0.3000836755478794,-1.260974576784733,0.5090439276485789
consumer,naive,0.5,387,4.5474932306185325,4.5474932306185325,-9.180138704910856e-18,-5.3025403851765116e-18,0.00516795865633075
consumer,naive,1.0,387,4.5474932306185325,4.5474932306185325,-2.4097864100390994e-17,-1.2057530076622409e-15,0.015503875968992248
consumer,naive,2.0,387,4.5474932306185325,4.5474932306185325,-2.4097864100390994e-17,-1.2057530076622409e-15,0.015503875968992248
energy,linear_trend,0.5,258,8.365667497322082,6.763260902650488,-1.602406594671595,-6.856607785414039,0.6356589147286822
energy,linear_trend,1.0,258,8.365667497322082,6.727987178815881,-1.637680318506203,-6.941900208373449,0.6395348837209303
energy,linear_trend,2.0,258,8.365667497322082,6.696556468384564,-1.6691110289375202,-6.4442393469331405,0.6356589147286822
energy,moving_average,0.5,258,5.589578781751568,5.244963594323299,-0.3446151874282688,-2.3889606834606236,0.5813953488372093
energy,moving_average,1.0,258,5.589578781751568,5.309800295451789,-0.27977848629977903,-1.2601165878737404,0.5387596899224806
energy,moving_average,2.0,258,5.589578781751568,5.2700170904815975,-0.3195616912699709,-1.9323818788203038,0.5697674418604651
energy,naive,0.5,258,5.226897792284819,5.226897792284819,-3.9589348164928065e-17,-6.706889874021093e-18,0.015503875968992248
energy,naive,1.0,258,5.226897792284819,5.226897792284819,1.6352122068122462e-17,1.8516827258574887e-15,0.023255813953488372
energy,naive,2.0,258,5.226897792284819,5.226897792284819,1.6352122068122462e-17,1.8516827258574887e-15,0.023255813953488372
finance,linear_trend,0.5,387,8.001740959153256,6.646724798865945,-1.3550161602873108,-1.0432101993234284,0.5607235142118863
finance,linear_trend,1.0,387,8.001740959153256,6.602015858980077,-1.39972510017318,-1.9677226421969978,0.5736434108527132
finance,linear_trend,2.0,387,8.001740959153256,6.660107543520221,-1.3416334156330356,-0.8065675243177629,0.5452196382428941
finance,moving_average,0.5,387,5.541929832892377,5.203156140851782,-0.33877369204059665,-2.47862520968544,0.5891472868217055
finance,moving_average,1.0,387,5.541929832892377,5.195702837665082,-0.3462269952272956,-2.586585126587834,0.6046511627906976
finance,moving_average,2.0,387,5.541929832892377,5.17780256124203,-0.36412727165034786,-2.9674553090213656,0.6046511627906976
finance,naive,0.5,387,5.07229088442927,5.07229088442927,7.573614431551455e-17,-1.1698106440780304e-16,0.007751937984496124
finance,naive,1.0,387,5.07229088442927,5.07229088442927,1.434396672642321e-16,1.4749360685580967e-16,0.0103359173126615
finance,naive,2.0,387,5.07229088442927,5.07229088442927,1.434396672642321e-16,1.4749360685580967e-16,0.0103359173126615
technology,linear_trend,0.5,387,9.41749686218081,7.714087186545392,-1.7034096756354187,-2.1113191239228124,0.6382428940568475
technology,linear_trend,1.0,387,9.41749686218081,7.696398093268462,-1.7210987689123494,-2.022628747890444,0.6201550387596899
technology,linear_trend,2.0,387,9.41749686218081,7.688834477841956,-1.728662384338855,-1.8847132760766108,0.6227390180878553
technology,moving_average,0.5,387,6.758982865741007,6.480930561806968,-0.2780523039340388,0.0739545028417249,0.5684754521963824
technology,moving_average,1.0,387,6.758982865741007,6.4921868029116085,-0.2667960628293988,-0.30823104922320516,0.5762273901808785
technology,moving_average,2.0,387,6.758982865741007,6.471281727775274,-0.2877011379657332,-0.21718488106645648,0.5813953488372093
technology,naive,0.5,387,6.385318426069375,6.385318426069375,2.7540416114732565e-17,6.924588205547667e-16,0.01808785529715762
technology,naive,1.0,387,6.385318426069375,6.385318426069375,1.7212760071707853e-17,8.149138000757973e-16,0.03359173126614987
technology,naive,2.0,387,6.385318426069375,6.385318426069375,2.0655312086049424e-17,9.151315656008419e-16,0.031007751937984496
